time,top_1,top_5
0.0834,0,0
0.1668,0,0
0.2503,0,0
0.3337,0,0
0.4171,0,0
0.5005,0,0
0.5839,0,0
0.6673,0,0
0.7508,0,0
0.8342,0,0
0.9176,0,0
1.001,0,0
1.0844,0,0
1.1678,0,0
1.2512,0,0
1.3347,0,0
1.4181,0,0
1.5015,0,0
1.5849,0,0
1.6683,0,0
1.7518,0,1
1.8352,0,1
1.9186,0,1
2.002,0,1
2.0854,0,1
2.1688,0,1
2.2523,0,1
2.3357,0,1
2.4191,0,1
2.5025,0,1
2.5859,0,1
2.6693,0,1
2.7528,0,1
2.8362,0,1
2.9196,1,1
3.003,1,1
3.0864,1,1
3.1698,1,1
3.2532,1,1
3.3367,1,1
3.4201,1,1
3.5035,1,1
3.5869,1,1
3.6703,1,1
3.7538,1,1
3.8372,1,1
3.9206,1,1
4.004,0,1
4.0874,0,1
4.1708,0,0
4.2542,0,0
4.3377,0,0
4.4211,0,0
4.5045,0,0
4.5879,0,0
4.6713,0,0
4.7548,0,0
4.8382,0,0
4.9216,0,0
5.005,0,0
5.0884,0,0
5.1718,0,0
5.2553,0,0
5.3387,0,0
5.4221,0,0
5.5055,0,0
5.5889,0,0
5.6723,0,0
5.7557,0,0
5.8392,0,0
5.9226,0,0
6.006,0,0
6.0894,0,0
6.1728,0,0
6.2563,0,0
6.3397,0,0
6.4231,0,0
6.5065,0,0
6.5899,0,0
6.6733,0,0
6.7568,0,0
6.8402,0,0
6.9236,0,0
7.007,0,0
7.0904,0,0
7.1738,0,0
7.2572,0,0
7.3407,0,0
7.4241,0,0
7.5075,0,0
7.5909,0,0
7.6743,0,0
7.7577,0,0
7.8412,0,0
7.9246,0,0
8.008,0,0
8.0914,0,0
8.1748,0,0
8.2583,0,0
8.3417,0,0
8.4251,0,0
8.5085,0,0
8.5919,0,0
8.6753,0,0
8.7588,0,0
8.8422,0,0
8.9256,0,0
9.009,0,0
9.0924,0,0
9.1758,0,0
9.2592,0,0
9.3427,0,0
9.4261,0,0
9.5095,0,0
9.5929,0,0
9.6763,0,0
9.7598,0,0
9.8432,0,0
9.9266,0,0
10.01,0,0
10.0934,0,0
10.1768,0,0
10.2603,0,0
10.3437,0,0
10.4271,0,0
10.5105,0,0
10.5939,0,0
10.6773,0,0
10.7607,0,0
10.8442,0,0
10.9276,0,1
11.011,0,0
11.0944,0,0
11.1778,0,0
11.2613,0,0
11.3447,0,0
11.4281,0,0
11.5115,0,0
11.5949,0,0
11.6783,0,0
11.7618,0,0
11.8452,0,0
11.9286,0,0
12.012,0,0
12.0954,0,0
12.1788,0,0
12.2622,0,0
12.3457,0,0
12.4291,0,0
12.5125,0,0
12.5959,0,0
12.6793,0,0
12.7628,0,0
12.8462,0,0
12.9296,0,0
13.013,0,0
13.0964,0,0
13.1798,0,0
13.2633,0,0
13.3467,0,0
13.4301,0,0
13.5135,0,0
13.5969,0,0
13.6803,0,0
13.7637,0,0
13.8472,0,0
13.9306,0,0
14.014,0,0
14.0974,0,0
14.1808,0,0
14.2643,0,0
14.3477,0,0
14.4311,0,0
14.5145,0,0
14.5979,0,0
14.6813,0,0
14.7648,0,0
14.8482,0,0
14.9316,0,0
15.015,0,0
15.0984,0,0
15.1818,0,0
15.2652,0,0
15.3487,0,0
15.4321,0,0
15.5155,0,0
15.5989,0,0
15.6823,0,0
15.7658,0,0
15.8492,0,0
15.9326,0,0
16.016,1,1
16.0994,1,1
16.1828,1,1
16.2662,1,1
16.3497,1,1
16.4331,1,1
16.5165,1,1
16.5999,1,1
16.6833,1,1
16.7668,1,1
16.8502,1,1
16.9336,1,1
17.017,1,1
17.1004,0,1
17.1838,0,1
17.2673,0,1
17.3507,0,1
17.4341,0,1
17.5175,0,1
17.6009,0,1
17.6843,0,1
17.7677,0,1
17.8512,0,1
17.9346,0,1
18.018,0,0
18.1014,0,0
18.1848,0,0
18.2683,0,0
18.3517,0,0
18.4351,0,0
18.5185,0,0
18.6019,0,0
18.6853,0,0
18.7688,0,0
18.8522,0,0
18.9356,0,0
19.019,0,0
19.1024,0,0
19.1858,0,0
19.2692,0,0
19.3527,0,0
19.4361,0,0
19.5195,0,0
19.6029,0,0
19.6863,0,0
19.7698,0,0
19.8532,0,0
19.9366,0,0
20.02,0,0
20.1034,0,0
20.1868,0,0
20.2703,0,0
20.3537,0,0
20.4371,0,0
20.5205,0,0
20.6039,0,0
20.6873,0,0
20.7707,0,0
20.8542,0,0
20.9376,0,0
21.021,0,1
21.1044,0,1
21.1878,1,1
21.2713,1,1
21.3547,1,1
21.4381,1,1
21.5215,1,1
21.6049,1,1
21.6883,1,1
