time,top_1,top_5
30.1968,False,False
30.2802,False,False
30.3637,False,False
30.4471,False,False
30.5305,False,False
30.6139,False,False
30.6973,False,True
30.7808,False,True
30.8642,False,True
30.9476,False,True
31.031,False,True
31.1144,False,True
31.1978,False,True
31.2812,False,True
31.3647,False,True
31.4481,False,True
31.5315,False,True
31.6149,False,True
31.6983,False,True
31.7817,False,True
31.8652,False,True
31.9486,False,True
32.032,False,True
32.1154,False,True
32.1988,False,True
32.2822,False,True
32.3657,False,True
32.4491,False,True
32.5325,False,True
32.6159,False,True
32.6993,False,True
32.7828,False,True
32.8662,False,True
32.9496,False,True
33.033,False,True
33.1164,False,True
33.1998,False,True
33.2833,False,True
33.3667,False,True
33.4501,False,True
33.5335,False,True
33.6169,False,True
33.7003,False,True
33.7837,False,True
33.8672,False,True
33.9506,False,True
34.034,False,True
34.1174,False,True
34.2008,False,True
34.2843,False,True
34.3677,False,True
34.4511,False,True
34.5345,False,True
34.6179,False,True
34.7013,False,True
34.7848,False,True
34.8682,False,True
34.9516,False,True
35.035,False,False
35.1184,False,False
35.2018,False,False
35.2852,False,False
35.3687,False,False
35.4521,False,False
35.5355,False,False
35.6189,False,False
35.7023,False,False
35.7858,False,False
35.8692,False,False
35.9526,False,False
36.036,False,False
36.1194,False,False
36.2028,False,False
36.2863,False,False
36.3697,False,False
36.4531,False,False
36.5365,False,False
36.6199,False,False
36.7033,False,False
36.7867,False,False
36.8702,False,False
36.9536,False,False
37.037,True,True
37.1204,True,True
37.2038,True,True
37.2873,True,True
37.3707,True,True
37.4541,True,True
37.5375,True,True
37.6209,True,True
37.7043,True,True
37.7878,True,True
37.8712,True,True
37.9546,True,True
38.038,False,False
38.1214,False,False
38.2048,False,False
38.2882,False,False
38.3717,False,False
38.4551,False,False
38.5385,False,False
38.6219,False,False
38.7053,False,False
38.7888,False,False
38.8722,False,False
38.9556,False,False
39.039,False,False
39.1224,False,False
39.2058,False,False
39.2893,False,False
39.3727,False,False
39.4561,False,False
39.5395,False,False
39.6229,False,False
39.7063,False,False
39.7897,False,False
39.8732,False,False
39.9566,False,False
40.04,False,False
40.1234,False,False
40.2068,False,False
40.2903,False,False
40.3737,False,False
40.4571,False,False
40.5405,False,False
40.6239,False,False
40.7073,False,False
40.7908,False,False
40.8742,False,False
40.9576,False,False
41.041,False,False
41.1244,False,False
41.2078,False,False
41.2912,False,False
41.3747,False,False
41.4581,False,False
41.5415,False,False
41.6249,False,False
41.7083,False,False
41.7918,False,False
41.8752,False,True
41.9586,False,True
42.042,False,False
42.1254,False,False
42.2088,False,False
42.2923,False,False
42.3757,False,False
42.4591,False,False
42.5425,False,False
42.6259,False,False
42.7093,False,False
42.7927,False,False
42.8762,False,True
42.9596,False,True
43.043,False,True
43.1264,False,False
43.2098,False,False
43.2933,False,False
43.3767,False,False
43.4601,False,False
43.5435,False,False
43.6269,False,False
43.7103,False,False
43.7938,False,False
43.8772,False,False
43.9606,False,False
44.044,False,False
44.1274,False,False
44.2108,False,False
44.2942,False,False
44.3777,False,False
44.4611,False,False
44.5445,False,False
44.6279,False,False
44.7113,False,False
44.7948,False,False
44.8782,False,False
44.9616,False,False
45.045,False,False
45.1284,False,False
45.2118,False,False
45.2953,False,False
45.3787,False,False
45.4621,False,False
45.5455,False,False
45.6289,False,False
45.7123,False,False
45.7957,False,False
45.8792,False,False
45.9626,False,False
46.046,False,False
46.1294,False,False
46.2128,False,True
46.2963,False,True
46.3797,False,True
46.4631,False,True
46.5465,True,True
46.6299,True,True
46.7133,True,True
46.7968,True,True
46.8802,True,True
46.9636,True,True
47.047,True,True
47.1304,True,True
47.2138,True,True
47.2972,True,True
47.3807,True,True
47.4641,True,True
47.5475,True,True
47.6309,True,True
47.7143,True,True
47.7978,True,True
47.8812,True,True
47.9646,True,True
48.048,True,True
48.1314,True,True
48.2148,True,True
48.2983,True,True
48.3817,True,True
48.4651,True,True
48.5485,True,True
48.6319,True,True
48.7153,True,True
48.7987,True,True
48.8822,True,True
48.9656,True,True
49.049,True,True
49.1324,True,True
49.2158,True,True
49.2993,True,True
49.3827,True,True
49.4661,True,True
49.5495,True,True
49.6329,True,True
49.7163,True,True
49.7998,False,True
49.8832,False,True
49.9666,False,True
50.05,False,True
50.1334,False,True
50.2168,False,True
50.3002,False,True
50.3837,False,True
50.4671,False,True
50.5505,False,True
50.6339,False,True
50.7173,False,True
50.8008,False,True
50.8842,False,True
50.9676,False,True
51.051,False,True
51.1344,False,True
51.2178,False,True
51.3013,False,True
51.3847,False,True
51.4681,False,True
51.5515,False,True
51.6349,False,True
51.7183,False,True
51.8017,False,True
51.8852,False,True
51.9686,False,True
52.052,False,True
52.1354,False,True
52.2188,False,True
52.3023,False,True
52.3857,False,True
52.4691,False,True
52.5525,False,True
52.6359,False,True
52.7193,False,True
52.8028,False,True
52.8862,False,True
52.9696,False,True
53.053,False,True
53.1364,False,True
53.2198,False,True
53.3032,False,True
53.3867,False,True
53.4701,False,True
53.5535,False,True
53.6369,False,True
53.7203,False,True
53.8038,False,True
53.8872,False,True
53.9706,False,True
54.054,False,True
54.1374,False,True
54.2208,False,True
54.3043,False,True
54.3877,False,True
54.4711,False,True
54.5545,False,True
54.6379,False,True
54.7213,False,True
54.8047,False,True
54.8882,False,True
54.9716,False,True
55.055,False,True
55.1384,False,True
55.2218,False,True
55.3053,False,True
55.3887,False,True
55.4721,False,True
55.5555,False,True
55.6389,False,True
55.7223,False,True
55.8058,False,True
55.8892,False,True
55.9726,False,True
56.056,False,False
56.1394,False,False
56.2228,False,False
56.3062,False,False
56.3897,False,False
56.4731,False,False
56.5565,False,False
56.6399,False,False
56.7233,False,False
56.8068,False,False
56.8902,False,False
56.9736,False,False
57.057,True,True
57.1404,True,True
57.2238,True,True
57.3073,True,True
57.3907,True,True
57.4741,True,True
57.5575,True,True
57.6409,True,True
57.7243,True,True
57.8077,True,True
57.8912,True,True
57.9746,True,True
58.058,True,True
58.1414,True,True
58.2248,True,True
58.3083,True,True
58.3917,True,True
58.4751,False,True
58.5585,False,True
58.6419,False,True
58.7253,False,True
58.8088,False,True
58.8922,False,True
58.9756,False,True
59.059,False,True
59.1424,False,True
59.2258,False,True
59.3092,False,True
59.3927,False,True
59.4761,True,True
59.5595,True,True
59.6429,True,True
59.7263,True,True
59.8098,True,True
59.8932,True,True
59.9766,True,True
60.06,True,True
60.1434,True,True
60.2268,True,True
60.3103,True,True
60.3937,True,True
60.4771,True,True
60.5605,True,True
60.6439,True,True
60.7273,True,True
60.8107,True,True
60.8942,True,True
60.9776,True,True
61.061,True,True
61.1444,True,True
61.2278,True,True
61.3113,True,True
61.3947,True,True
61.4781,True,True
61.5615,True,True
61.6449,True,True
61.7283,True,True
61.8118,True,True
61.8952,True,True
61.9786,True,True
62.062,False,False
62.1454,False,False
62.2288,False,False
62.3122,False,False
62.3957,False,False
62.4791,False,False
62.5625,False,False
62.6459,False,False
62.7293,False,False
62.8128,False,False
62.8962,False,False
62.9796,False,False
63.063,False,False
63.1464,False,False
63.2298,False,False
63.3133,False,False
63.3967,False,False
63.4801,False,False
63.5635,False,False
63.6469,False,False
63.7303,False,False
63.8137,False,False
63.8972,False,False
63.9806,False,False
64.064,False,False
64.1474,False,False
64.2308,False,False
64.3143,False,False
64.3977,False,False
64.4811,False,True
64.5645,False,True
64.6479,True,True
64.7313,True,True
64.8148,True,True
64.8982,True,True
64.9816,True,True
65.065,True,True
65.1484,True,True
65.2318,True,True
65.3153,True,True
65.3987,True,True
65.4821,True,True
65.5655,True,True
